umls_cui_from_meddra	side_effect_name
C0263634	Excessive granulation tissue
C1994994	Excessive thirst
C0235169	Excitability
C0541947	Excitation cerebral
C0233571	Excitement
C0015256	Excoriation
C0266453	Exencephaly
C1608945	Exfoliative rash
C0392674	Exhaustion
C1306503	Exomphalos
C0015300	Exophthalmos
C1442903	Exostosis
C0152183	Explosive personality disorder
C0853402	Exposure to poisonous plant
C0522757	Exposure to toxic agent
C0236826	Expressive language disorder
C0034935	Extensor plantar response
C0155388	External ear disorder
C0162292	External ophthalmoplegia
C0270629	Extradural abscess
C0392788	Extranodal NK/T-cell lymphoma, nasal type
C1328552	Extrapulmonary pneumocystosis
C0015371	Extrapyramidal disorder
C0234133	Extrapyramidal symptoms
C0334040	Extraskeletal ossification
C0340464	Extrasystoles
C0015376	Extravasation
C1167745	Extremity necrosis
C0852875	Eye allergy
C0423008	Eye bleeding
C0015395	Eye burns
C0423006	Eye discharge
C0015397	Eye disorder
C0015402	Eye haemorrhage
C0015403	Eye infection
C0015408	Eye injury
C0235266	Eye irritation
C0028850	Eye movement disorder
C0919866	Eye naevus
C0743680	Eye oedema
C0151827	Eye pain
C0015409	Eye penetration
C0022281	Eye pruritus
C0235267	Eye redness
C0522336	Eye rolling
C0270996	Eye swelling
C0848383	Eye ulcer
C0578682	Eyebrow loss of
C1536146	Eyelash darkening
C1142111	Eyelash discolouration
C1536145	Eyelash hyperpigmentation
C1142112	Eyelash thickening
C0155216	Eyelid bleeding
C0015423	Eyelid disorder
C1609496	Eyelid exfoliation
C0854286	Eyelid function disorder
C0549322	Eyelid infection
C1112366	Eyelid irritation
C0948294	Eyelid margin crusting
C0162285	Eyelid oedema
C1142349	Eyelid pain
C0005745	Eyelid ptosis
C0234665	Eyelid retraction
C0849918	Eyelids pruritus
C0015459	Face injury
C0542571	Face oedema
C0159321	Facial bones fracture
C0015467	Facial neuralgia
C0015468	Facial pain
C0015469	Facial paralysis
C0427055	Facial paresis
C0239521	Facial rash
C0278151	Facial spasm
C1112303	Facial wasting
C0020640	Factor II deficiency
C0019069	Factor VIII deficiency
C0015523	Factor XI deficiency
C0015732	Faecal incontinence
C0266813	Faecal occult blood positive
C0015734	Faecalith
C1321686	Faecaloma
C0235315	Faeces discoloured
C0278016	Faeces hard
C0269806	Failed induction of labour
C0015544	Failure to thrive
C0085639	Fall
C0039685	Fallot's tetralogy
C0393615	Familial tremor
C0577730	Family stress
C0015624	Fanconi syndrome
C0341702	Fanconi syndrome acquired
C0015644	Fasciculation
C0015645	Fasciitis
C0015663	Fasting
C0920108	Fasting blood glucose increased
C2609269	Fasting hyperglycaemia
C0333650	Fat atrophy
C0013928	Fat embolism
C0239549	Fat intolerance
C0015668	Fat necrosis
C0856151	Fat redistribution
C0235433	Fat tissue increased
C0231230	Fatigability
C0015672	Fatigue
C0856136	Fatigue aggravated
C0015726	Fear
C1095923	Febrile bone marrow aplasia
C0009952	Febrile convulsion
C0746883	Febrile neutropenia
C0543392	Feces bloodstained
C1443060	Feeling abnormal
C0234192	Feeling cold
C0522172	Feeling drunk
C2939147	Feeling hot
C0522245	Feeling hot and cold
C0549209	Feeling jittery
C0549385	Feeling of body temperature change
C0233488	Feeling of despair
C0522165	Feeling of relaxation
C0859037	Feeling of residual urine
C3536794	Feeling sad
C0857027	Feeling sick
C0235129	Feeling strange
C0235108	Feeling tense
C0855235	Feelings of worthlessness
C0581879	Felt faint
C0033948	Female orgasmic disorder
C0015786	Female sexual arousal disorder
C1112442	Female sexual dysfunction
C0235520	Femoral artery thrombosis
C0015806	Femoral neck fracture
C0015802	Femur fracture
C0162386	Femur fracture subtrochanteric
C0272753	Femur shaft fracture
C0151639	Fertility female decreased
C0151640	Fertility male decreased
C0015914	Fertilization
C0231694	Festinating gait
C0085594	Fever chills
C0235839	Fever neonatal
C0015970	Fever of unknown origin
C0549284	Fibrillation atrial aggravated
C1295715	Fibrinogen decreased
C0178421	Fibroadenoma of breast
C1305875	Fibroadenosis of breast
C0016034	Fibrocystic breast disease
C0016033	Fibrocystic disease
C0016053	Fibromyalgia
C0016059	Fibrosis
C0410740	Finger deformity
C0016169	Fistula
C0221242	Fixed drug eruption
C0151629	Fixed eruption
C0016199	Flank pain
C0233471	Flat affect
C0016204	Flatulence
C0233657	Flight of ideas
C0235131	Floating feeling
C0270971	Floppy infant
C1735601	Floppy iris syndrome
C0948873	Flu symptoms
C0860434	Fluid and electrolyte imbalance
C2364164	Fluid imbalance
C0426597	Fluid intake reduced
C0235395	Fluid loss
C0546817	Fluid overload
C0268000	Fluid retention
C0852203	Fluoride increased
C0016325	Fluorosis
C0016382	Flushing
C0017668	Focal segmental glomerulosclerosis
C0410959	Foetal acidosis
C0015923	Foetal alcohol syndrome
C1739111	Foetal anticonvulsant syndrome
C1535919	Foetal chromosome abnormality
C0854268	Foetal damage
C0015927	Foetal death
C0015929	Foetal disorder
C0015930	Foetal distress syndrome
C0018811	Foetal heart rate
C0239571	Foetor hepaticus
C0016412	Folate deficiency
C0221384	Follicular conjunctivitis
C0016436	Folliculitis
C0235014	Fontanelle bulging
C0016470	Food allergy
C0877173	Food aversion
C0872380	Food craving
C0242784	Food interaction
C3665356	Food intolerance
C0016479	Food poisoning
C0016514	Foot and mouth disease
C0574002	Foot edema
C0272774	Foot fracture
C0744131	Foot infection fungal NOS
C0016512	Foot pain
C0085684	Footdrop
C0016522	Foramen ovale patent
C0520837	Forced expiratory volume decreased
C0016542	Foreign body
C0015401	Foreign body in eye
C0920171	Foreign body sensation in eyes
C0542476	Forgetfulness
C0016579	Formication
C0476463	Found dead
C0277589	Found dead (cause undetermined)
C0428167	Fraction of inspired oxygen
C0016658	Fracture
C0473237	Frank hematuria
C1096506	Free prostate-specific antigen increased
C1262022	Freezing phenomenon
C0239978	Frequent bowel movements
C0948396	Frequent headaches
C0744221	Friction rub
C0016722	Frigidity
C0311223	Frozen shoulder
C0016751	Fructose intolerance
C0016770	Frustration
C0235318	Fullness abdominal
C0232807	Function kidney decreased
C0559031	Functional gastrointestinal disorder
C0920184	Fundic gland polyp
C0085082	Fungaemia
C0026946	Fungal infection
C0401013	Fungal peritonitis
C0848648	Fungal rash
C0744235	Fungal sepsis
C0011630	Fungal skin infection
C1167761	Fungal test positive
C1096732	Fungus sputum test positive
C0242301	Furuncle
C0016867	Furunculosis
C0541974	Fuzzy head
C0016927	Gagging
C0575081	Gait disturbance
C0231688	Gait shuffling
C0235660	Galactorrhoea
C0153452	Gallbladder cancer
C0016977	Gallbladder disorder
C0262493	Gallbladder polyp
C0860209	Gallbladder sludge
C0232200	Gallop rhythm
C0151669	Gamma globulins increased
C0151662	Gamma-glutamyltransferase increased
C0151666	Gammaglobulins decreased
C0017086	Gangrene
C0262494	Gangrenous cholecystitis
C0596601	Gas
C0017105	Gas gangrene
C0541976	Gas in stomach
C0476289	Gas pain
C0425449	Gasping
C0152020	Gastric atony
C0024623	Gastric cancer
C0038353	Gastric dilatation
C0038354	Gastric disorder
C0341177	Gastric erosions
C0277525	Gastric flu
C0235325	Gastric haemorrhage
C0392176	Gastric irritation
C1168034	Gastric pH decreased
C0235884	Gastric perforation
C0236048	Gastric polyps
C0038358	Gastric ulcer
C0341164	Gastric ulcer haemorrhage
C0948036	Gastric ulcer helicobacter
C0341163	Gastric ulcer perforation
C0017150	Gastrinoma
C0017152	Gastritis
C0549277	Gastritis aggravated
C2243088	Gastritis erosive
C2010560	Gastritis haemorrhagic
C0563238	Gastritis viral
C0267166	Gastroduodenitis
C0017160	Gastroenteritis
C0343361	Gastroenteritis adenovirus
C0558348	Gastroenteritis bacterial
C0853198	Gastroenteritis yersinia
C0343886	Gastrointestinal candidiasis
C0151544	Gastrointestinal carcinoma
C0877664	Gastrointestinal cramps
C1096250	Gastrointestinal discomfort
C0017178	Gastrointestinal disorder
C0341212	Gastrointestinal fistula
C0858217	Gastrointestinal fullness
C0729549	Gastrointestinal fungal infection
C0017181	Gastrointestinal haemorrhage
C0948395	Gastrointestinal hypermotility
C0948779	Gastrointestinal hypomotility
C1264613	Gastrointestinal infection
C1535950	Gastrointestinal inflammation
C0012241	Gastrointestinal malformation
C0854121	Gastrointestinal motility disorder
C0852925	Gastrointestinal necrosis
C0017185	Gastrointestinal neoplasm
C0685938	Gastrointestinal neoplasm malignant
C0236124	Gastrointestinal obstruction
C0687713	Gastrointestinal pain
C0151664	Gastrointestinal perforation
C1963818	Gastrointestinal sounds abnormal
C1696157	Gastrointestinal stoma complication
C0238198	Gastrointestinal stromal tumour
C0426576	Gastrointestinal symptom NOS
C1142499	Gastrointestinal toxicity
C2697368	Gastrointestinal tract irritation
C0237938	Gastrointestinal ulcer
C1112525	Gastrointestinal ulcer haemorrhage
C0858346	Gastrointestinal ulcer perforation
C0017168	Gastrooesophageal reflux disease
C1328327	Gastrooesophageal sphincter insufficiency
C0392034	Gastrooesophagitis
C1112261	Gaze palsy
C0858924	General discomfort
C0877211	General physical health deterioration
C0159028	General symptom
C0270549	Generalised anxiety disorder
C0849916	Generalised erythema
C0151603	Generalised oedema
C0151911	Generalised spasm
C0281856	Generalized aching
C0857370	Generalized flushing
C0476486	Generalized lymphadenopathy
C0857083	Generalized macular rash
C0750016	Generalized urticaria
C0032529	Genetic polymorphism
C1096300	Genital burning sensation
C0343863	Genital candidiasis
C1112274	Genital discharge
C1868730	Genital discomfort
C0017411	Genital disorder female
C0017412	Genital disorder male
C0854381	Genital haemorrhage
C0019342	Genital herpes
C2609096	Genital hypoaesthesia
C0729552	Genital infection
C0740330	Genital infection fungal
C0564768	Genital infection male
C1868893	Genital irritation
C0521634	Genital itching female
C0744369	Genital lesion
C0239725	Genital pain
C0458104	Genital pain male
C0239729	Genital rash
C1963789	Genital swelling
C0151281	Genital ulceration
C0589616	Genitourinary chlamydia infection
C1279247	Genitourinary tract infection
C0042065	Genitourinary tract neoplasm
C0576093	Genu valgum
C0017551	Gilbert's syndrome
C0149892	Gingival abscess
C0017565	Gingival bleeding
C0877639	Gingival blister
C0017563	Gingival disorder
C0239735	Gingival erythema
C0017566	Gingival hyperplasia
C0017567	Gingival hypertrophy
C0744403	Gingival infection
C0277986	Gingival oedema
C0239739	Gingival pain
C0017572	Gingival recession
C0235324	Gingival swelling
C0392378	Gingival ulceration
C0017574	Gingivitis
C0149704	Gingivostomatitis
C1142017	Glabellar reflex abnormal
C0017601	Glaucoma
C0857112	Glaucoma both eyes
C0017636	Glioblastoma
C1621958	Glioblastoma multiforme
C0017638	Glioma
C0151665	Globulins decreased
C0017650	Globus hystericus
C0853068	Glomerular filtration rate decreased
C0017657	Glomerulitis
C0017658	Glomerulonephritis
C0017662	Glomerulonephritis membranoproliferative
C0017665	Glomerulonephritis membranous
C1704320	Glomerulonephritis minimal lesion
C0221239	Glomerulonephritis rapidly progressive
C0268731	Glomerulonephropathy
C0017675	Glossitis
C0017672	Glossodynia
C0264315	Glottic edema
C0852696	Glucocorticoids decreased
C1704381	Glucose decreased
C0860803	Glucose increased
C0860801	Glucose low
C0235401	Glucose tolerance abnormal
C0151671	Glucose tolerance decreased
C0271650	Glucose tolerance impaired
C0863147	Glucose urine increased
C2939465	Glucose-6-phosphate dehydrogenase deficiency
C0017979	Glycosuria
C0855304	Glycosylated haemoglobin decreased
C0239940	Glycosylated haemoglobin increased
C0018021	Goitre
C0151680	Gonadotropic luteinizing hormone increased
C0151673	Gonadotropins NOS low
C0018081	Gonorrhoea
C0403529	Goodpasture's syndrome
C0018099	Gout
C2062908	Gout acute
C2712871	Gout attack
C1619733	Gout flare
C0003868	Gouty arthritis
C0221248	Gouty tophus
C0274312	Graft complication
C1167870	Graft dysfunction
C0877042	Graft loss
C0919939	Graft thrombosis
C0018133	Graft versus host disease
C0018134	Graft versus host reaction
C0085423	Gram-negative bacterial infection NOS
C0014549	Grand mal convulsion
C1282609	Granulocytosis
C0018188	Granuloma
C0085074	Granuloma annulare
C0151684	Granuloma skin
C3495801	Granulomatosis with polyangiitis
C0860210	Granulomatous liver disease
C0235437	Gravitational oedema
C0270276	Grey syndrome neonatal
C0239779	Grimacing
C0861171	Gritty feeling in eyes
C0239783	Groin pain
C0860516	Ground glass appearance
C0151685	Growth accelerated
C0271547	Growth hormone overproduction
C0423847	Growth of eyelashes
C0151686	Growth retardation
C0018378	Guillain-Barre syndrome
C0018418	Gynaecomastia
C1698259	HCV coinfection
C2938903	HDL cholesterol increased
C0078911	HIV associated nephropathy
C0018916	Haemangioma
C0235753	Haemangioma congenital
C0018924	Haemarthrosis
C0018926	Haematemesis
C0018932	Haematochezia
C0744727	Haematocrit decreased
C0239935	Haematocrit increased
C0376545	Haematological malignancy
C1112712	Haematology test abnormal
C0018944	Haematoma
C0149707	Haematospermia
C0920103	Haematotoxicity
C0018965	Haematuria
C0018994	Haemobilia
C0018995	Haemochromatosis
C0948268	Haemodynamic instability
C0518015	Haemoglobin
C0349705	Haemoglobin abnormal
C0162119	Haemoglobin decreased
C0549448	Haemoglobin increased
C0474529	Haemoglobin normal
C0235573	Haemoglobinaemia
C0019048	Haemoglobinuria
C0019054	Haemolysis
C0002878	Haemolytic anaemia
C0019061	Haemolytic uraemic syndrome
C0684275	Haemophilia
C0019079	Haemoptysis
C0019080	Haemorrhage
C0269596	Haemorrhage in pregnancy
C0151699	Haemorrhage intracranial
C0854107	Haemorrhage subcutaneous
C0235620	Haemorrhage urinary tract
C0948824	Haemorrhagic anaemia
C0019087	Haemorrhagic disorder
C2242494	Haemorrhagic erosive gastritis
C0473311	Haemorrhagic ovarian cyst
C0553692	Haemorrhagic stroke
C1167785	Haemorrhagic urticaria
C0265031	Haemorrhoidal haemorrhage
C0019112	Haemorrhoids
C0019123	Haemothorax
C0474378	Hair colour changes
C0151689	Hair discoloration
C0018500	Hair disorder
C0232409	Hair growth abnormal
C0232410	Hair growth increased
C0235807	Hair texture abnormal
C0018524	Hallucination
C0233762	Hallucination, auditory
C0233767	Hallucination, tactile
C0233763	Hallucination, visual
C0855223	Hallucinations, mixed
C0422974	Halo vision
C0018552	Hamartoma
C0085786	Hamman-Rich syndrome
C0852711	Hand and foot syndrome secondary to sickle cell anaemia
C0239816	Hand dermatitis
C0435632	Hand fracture
C0239833	Hand pain
C0857117	Hand rash
C0575805	Hand swelling
C0575810	Hands weakness of
C0221100	Hangover
C0236061	Haptoglobin increased
C0235002	Head discomfort
C0018674	Head injury
C1141884	Head lag abnormal
C0235004	Head pressure
C1608410	Head titubation
C0018681	Headache
C0876980	Headache aggravated
C0239885	Headache dull
C0856864	Headache fullness
C0857361	Headache occurring
C1384666	Hearing impaired
C0919661	Heart alternation
C0152021	Heart disease congenital
C0018798	Heart malformation
C1868917	Heart racing
C1744601	Heart rate abnormal
C0237314	Heart rate irregular
C0577822	Heart sounds abnormal
C0018834	Heartburn
C0018839	Heat exhaustion
C0231274	Heat intolerance
C0018843	Heat stroke
C0235721	Heaviness in limbs
C0850001	Heaviness of head
C0343378	Helicobacter gastritis
C0079487	Helicobacter infection
C0856897	Hemangioma acquired
C0018979	Hemianopia
C0018987	Hemimelia
C0018989	Hemiparesis
C0457436	Hemiparesis (left)
C0018991	Hemiplegia
C0521662	Hemiplegia transient
C0235575	Hemolytic reaction
C0024291	Hemophagocytic lymphohistiocytosis
C0741553	Hemorrhage abnormal
C0151694	Hemorrhage of colon
C0858540	Hemorrhage symptom
C0151565	Hemorrhagic colitis
C0856099	Hemorrhoids aggravated
C0034152	Henoch-Schonlein purpura
C0272285	Heparin-induced thrombocytopenia
C0541760	Hepatic adenoma
C0345907	Hepatic angiosarcoma
C0392106	Hepatic artery thrombosis
C0391996	Hepatic atrophy
C0345904	Hepatic cancer
C0856554	Hepatic cancer metastatic
C0023890	Hepatic cirrhosis
C0267821	Hepatic congestion
C0267834	Hepatic cyst
C0019151	Hepatic encephalopathy
C0438237	Hepatic enzyme abnormal
C1261989	Hepatic enzyme decreased
C0235996	Hepatic enzyme increased
C0085605	Hepatic failure
C0239946	Hepatic fibrosis
C0086565	Hepatic function abnormal
C0745754	Hepatic granuloma
C0235912	Hepatic haemorrhage
C0948807	Hepatic impairment
C1611157	Hepatic infiltration eosinophilic
C1306571	Hepatic insufficiency
C1112746	Hepatic lymphoma
C0151798	Hepatic necrosis
C0023903	Hepatic neoplasm
C0522067	Hepatic pain
C2711227	Hepatic steatosis
C1142158	Hepatic vein occlusion
C0019158	Hepatitis
C0019159	Hepatitis A
C0019163	Hepatitis B
C0392390	Hepatitis B e antigen positive
C1142420	Hepatitis B reactivation
C0019196	Hepatitis C
C0281863	Hepatitis C antibody positive
C0854495	Hepatitis F
C0267797	Hepatitis acute
C0856105	Hepatitis aggravated
C0019187	Hepatitis alcoholic
C0149904	Hepatitis cholestatic
C0520463	Hepatitis chronic active
C0302809	Hepatitis fulminant
C0235369	Hepatitis granulomatous
C0858814	Hepatitis symptom
C0019193	Hepatitis toxic
C0042721	Hepatitis viral
C0267792	Hepatobiliary disease
C0206624	Hepatoblastoma
C0206669	Hepatocellular adenoma
C2239176	Hepatocellular carcinoma
C0151763	Hepatocellular injury
C0019209	Hepatomegaly
C0019212	Hepatorenal syndrome
C1333984	Hepatosplenic T-cell lymphoma
C0019214	Hepatosplenomegaly
C0235378	Hepatotoxicity
C0019243	Hereditary angioedema
C0019270	Hernia
C0235832	Hernia congenital
C0877134	Hernia pain
C0019338	Herpangina
C0019340	Herpes NOS
C1262170	Herpes dermatitis
C0019345	Herpes labialis
C0019348	Herpes simplex
C0854331	Herpes simplex dermatitis
C0276226	Herpes simplex encephalitis
C1963747	Herpes simplex hepatitis
C0019372	Herpes virus infection
C0019360	Herpes zoster
C0342882	Heterozygous familial hypercholesterolemia
C3489393	Hiatus hernia
C0019521	Hiccups
C0085160	Hidradenitis
C1522133	High cholesterol
C0151691	High density lipoprotein decreased
C0853084	High density lipoprotein increased
C0018780	High frequency deafness
C1262165	High turnover osteopathy
C1328407	Hip dysplasia
C0019557	Hip fracture
C0019572	Hirsutism
C0019618	Histiocytosis
C1455705	Histiocytosis X of lung
C0876991	Histiocytosis haematophagic
C0019655	Histoplasmosis
C0019825	Hoarseness
C0019829	Hodgkin's disease
C0152267	Hodgkin's disease lymphocyte depletion type stage unspecified
C1266194	Hodgkin's disease lymphocyte predominance type stage unspecified
C1167750	Hoigne's syndrome
C0455204	Homicidal ideation
C0019880	Homocystinuria
C0342881	Homozygous familial hypercholesterolaemia
C0019917	Hordeolum
C0151477	Hormone level abnormal
C0019937	Horner's syndrome
C0020039	Hostility
C0549363	Hot dry skin
C0600142	Hot flush
C0339807	House dust allergy
C0854530	Human herpesvirus 6 infection
C0020162	Humerus fracture
C0020175	Hunger
C0235119	Hunger abnormal
C0020255	Hydrocephalus
C0020295	Hydronephrosis
C0020305	Hydrops foetalis
C0020312	Hydrothorax
C0521620	Hydroureter
C0034880	Hyperacusis
C0001622	Hyperadrenocorticism
C0020452	Hyperaemia
C0020453	Hyperaesthesia
C1142113	Hyperalbuminaemia
C0220994	Hyperammonaemia
C0221773	Hyperamylasaemia
C0020433	Hyperbilirubinaemia
C0235851	Hyperbilirubinemia aggravated
C0020437	Hypercalcaemia
C0149911	Hypercalcaemia of malignancy
C0020438	Hypercalciuria
C0020440	Hypercapnia
C0085679	Hyperchloraemia
C0151713	Hyperchlorhydria
C0020443	Hypercholesterolaemia
C0856108	Hypercholesterolemia aggravated
C0542027	Hypercoagulation
C0745091	Hypereosinophilia
C0856984	Hyperexcitation
C0919890	Hyperfibrinogenaemia
C0020455	Hypergammaglobulinaemia
C0020456	Hyperglycaemia
C0235847	Hyperhemoglobinemia
C0020458	Hyperhidrosis
C0020459	Hyperinsulinism
C0020461	Hyperkalaemia
C0870082	Hyperkeratosis
C0424295	Hyperkinesia
C0795692	Hyperlactacidaemia
C0020473	Hyperlipidaemia
C0151714	Hypermagnesaemia
C0268621	Hypermethioninaemia
C0020488	Hypernatraemia
C0020492	Hyperostosis
C0020502	Hyperparathyroidism
C0221002	Hyperparathyroidism primary
C0020503	Hyperparathyroidism secondary
C0020429	Hyperpathia
C0020505	Hyperphagia
C0085681	Hyperphosphataemia
C0020507	Hyperplasia
C0014800	Hyperplasia erythroid
C0220854	Hyperpnea
C0020514	Hyperprolactinaemia
C0267988	Hyperproteinaemia
C0392676	Hyperpyrexia
C0151889	Hyperreflexia
C0235006	Hypersensation skin
C0543698	Hypersensitive syndrome
C0020517	Hypersensitivity
C0312420	Hypersexuality
C0917799	Hypersomnia
C0020532	Hypersplenism
C0020538	Hypertension
C0221154	Hypertension paroxysmal
C0235750	Hypertension worsened
C0857121	Hypertensive
C0020546	Hypertensive crisis
C0151620	Hypertensive encephalopathy
C0520539	Hypertensive episode
C0848548	Hypertensive nephropathy
C0020550	Hyperthyroidism
C0026826	Hypertonia
C0878773	Hypertonic bladder
C0235396	Hypertonicity
C2242708	Hypertransaminasaemia
C0020555	Hypertrichosis
C0020557	Hypertriglyceridaemia
C0007194	Hypertrophic cardiomyopathy
C0178703	Hypertrophic osteoarthropathy
C0162810	Hypertrophic scar
C0020564	Hypertrophy
C0020565	Hypertrophy of breast
C0740394	Hyperuricaemia
C0948643	Hyperuricosuria
C0020578	Hyperventilation
C0235013	Hypervigilance
C0221030	Hyperviscosity syndrome
C0020579	Hypervitaminosis A
C1442839	Hypervitaminosis D
C0020581	Hyphaema
C0233773	Hypnagogic hallucination
C0020580	Hypoaesthesia
C0854097	Hypoaesthesia eye
C1696943	Hypoaesthesia facial
C0521592	Hypoaesthesia oral
C0239981	Hypoalbuminaemia
C0085625	Hypoalgesia
C0020598	Hypocalcaemia
C0151940	Hypocalcemic tetany
C0020599	Hypocalciuria
C0085383	Hypocapnia
C0085680	Hypochloraemia
C0151718	Hypocholesterolaemia
C0020604	Hypochondriasis
C0002884	Hypochromic anaemia
C2939427	Hypoesthesia tongue
C0553681	Hypofibrinogenaemia
C0086438	Hypogammaglobulinaemia
C0151934	Hypogeusia
C0020615	Hypoglycaemia
C0158986	Hypoglycaemia neonatal
C0020617	Hypoglycaemic coma
C0745153	Hypoglycaemic episode
C0877056	Hypoglycaemic seizure
C1737211	Hypoglycaemic unconsciousness
C0271710	Hypoglycemic reaction
C0020619	Hypogonadism
C0151721	Hypogonadism male
C0020620	Hypohidrosis
C0020621	Hypokalaemia
C0086439	Hypokinesia
C0342892	Hypolipidaemia
C0151723	Hypomagnesaemia
C0241934	Hypomania
C0020624	Hypomenorrhoea
C0020625	Hyponatraemia
C0857122	Hyponatraemic
C0020626	Hypoparathyroidism
C0442856	Hypoperfusion
C1504561	Hypophagia
C0085682	Hypophosphataemia
C0020635	Hypopituitarism
C0542035	Hypoplasia erythroid
C0178416	Hypoplastic anaemia
C0235546	Hypopnoea
C0020639	Hypoproteinaemia
C3203356	Hypoprothrombinaemia
C0151888	Hyporeflexia
C2364082	Hyposmia
C0232831	Hyposthenuria
C0020649	Hypotension
C0740481	Hypotension asymptomatic
C0740482	Hypotension orthostatic symptomatic
C0863113	Hypotension symptomatic
C0857353	Hypotensive
C0413252	Hypothermia
C1142523	Hypothrombinaemia
C0020676	Hypothyroidism
C0026827	Hypotonia
C0028841	Hypotony of eye
C0020678	Hypotrichosis
C0221333	Hypouricaemia
C3203358	Hypoventilation
C1510471	Hypovitaminosis
C0546884	Hypovolaemia
C0020683	Hypovolaemic shock
C0700292	Hypoxemia
C0242184	Hypoxia
C1140716	Hypoxic-ischaemic encephalopathy
C0020701	Hysteria
C0028866	IIIrd nerve paralysis
C0236167	IUD complication
C0021899	IUD expelled
C0020757	Ichthyosis
C0263386	Ichthyosis acquired
C0700053	Idiopathic hypertrophic subaortic stenosis
C1504431	Idiopathic pneumonia syndrome
C1800706	Idiopathic pulmonary fibrosis
C0920163	Idiopathic thrombocytopenia
C0043117	Idiopathic thrombocytopenic purpura
C0013423	Idiopathic torsion dystonia
C0919578	Idiosyncratic drug reaction
C0559938	Ileal perforation
C0520564	Ileal ulcer
C0020877	Ileitis
C0267380	Ileitis regional
C1258215	Ileus
C0030446	Ileus paralytic
C2047937	Ill-defined disorder
C0020903	Illusion
C0231441	Immobile
C0020964	Immune status
C0021053	Immune system disorder
C3267047	Immune-mediated necrotising myopathy
C0085393	Immunocompromised
C0021051	Immunodeficiency
C0239987	Immunoglobulin G low
C0151728	Immunoglobulins decreased
C0151729	Immunoglobulins increased
C0021061	Immunology test
C0948257	Immunosuppressant drug level increased
C0522063	Impaired gastric emptying
C0151692	Impaired healing
C0238707	Impairment of attention
C0919568	Impatience
C0152436	Imperforate hymen
C0021099	Impetigo
C0854466	Implant expulsion
C0588128	Implant infection
C1504452	Implant site pain
C0521510	Implant site reaction
C0235895	Implantation complication
C0021122	Impulse-control disorder
C0233467	Inappropriate affect
C0021141	Inappropriate antidiuretic hormone secretion
C2363809	Incessant ventricular tachycardia
C1142172	Incision site complication
C1168175	Incision site haematoma
C0919882	Incision site haemorrhage
C1698400	Incision site oedema
C1142257	Incision site pain
C0267716	Incisional hernia
C0542044	Incoherent
C0344365	Incomplete bladder emptying
C0854210	Incomplete precocious puberty
C0021167	Incontinence
C0474395	Increased activity
C0858249	Increased agitation
C0232461	Increased appetite
C1262144	Increased bronchial secretion
C0595938	Increased effect
C0235409	Increased insulin requirement
C0747979	Increased prolactin level
C0423798	Increased tendency to bruise
C0241379	Increased thirst
C1328308	Increased upper airway secretion
C1096275	Increased viscosity of bronchial secretion
C0332534	Induration
C0021308	Infarction
C0267406	Infarction mesenteric
C0850638	Infected bites
C1142249	Infected cyst
C0009450	Infection
C0275524	Infection mixed
C0747256	Infection parasitic
C0854135	Infection pseudomonas aeruginosa
C3160756	Infection reactivation
C0236171	Infection susceptibility increased
C0021345	Infectious mononucleosis
C1264610	Infectious peritonitis
C2721563	Infectious pneumonitis
C0158353	Infective myositis
C0847403	Infective tenosynovitis
C0340305	Inferior myocardial infarction
C0265072	Inferior vena cava syndrome
C0021359	Infertility
C0021361	Infertility female
C0021364	Infertility male
C1384353	Infestation
C0851341	Infestation NOS
C0021368	Inflammation
C0522570	Inflammation localised
C0021390	Inflammatory bowel disease
C0234939	Inflammatory swelling
C0549356	Inflicted injury
C0021400	Influenza
C0521839	Influenza like illness
C0392171	Influenza-like symptoms
C1167677	Infrequent bowel movements
C1697883	Infusion related pain
C0948715	Infusion related reaction
C0877606	Infusion site burning
C0877365	Infusion site erythema
C1608954	Infusion site extravasation
C1096034	Infusion site induration
C1096714	Infusion site infection
C1112470	Infusion site inflammation
C1695897	Infusion site irritation
C0919986	Infusion site oedema
C1096035	Infusion site pain
C1096460	Infusion site phlebitis
C1096091	Infusion site pruritus
C1167945	Infusion site rash
C1096343	Infusion site reaction
C1096049	Infusion site swelling
C1699201	Infusion site thrombophlebitis
C1697542	Infusion site thrombosis
C1698976	Infusion site urticaria
C1096036	Infusion site warmth
C0027343	Ingrowing nail
C0263492	Ingrown hair
C0019294	Inguinal hernia
C0393760	Initial insomnia
C0151464	Injection site abscess
C0151512	Injection site atrophy
C0521508	Injection site bruising
C0521503	Injection site burning
C0919590	Injection site cellulitis
C0919593	Injection site coldness
C0151584	Injection site cyst
C0521505	Injection site dermatitis
C0948991	Injection site discolouration
C1096267	Injection site discomfort
C1868843	Injection site dryness
C0852625	Injection site erythema
C2363949	Injection site exfoliation
C0521500	Injection site extravasation
C0151649	Injection site fibrosis
C0085654	Injection site granuloma
C0542008	Injection site haematoma
C0151698	Injection site haemorrhage
C0151726	Injection site hypersensitivity
C0521509	Injection site induration
C0221714	Injection site infection
C0151734	Injection site inflammation
C1737214	Injection site injury
C0521498	Injection site irritation
C0877179	Injection site joint pain
C0151795	Injection site necrosis
C0151828	Injection site pain
C1735322	Injection site pallor
C0521506	Injection site paraesthesia
C0542149	Injection site phlebitis
C0521499	Injection site pigmentation changes
