DRUG_NAME,ACCESSION,TARGET_NAME,ACT_VALUE,ACT_TYPE,SMILES
olaparib,Q9UKK3,PARP4,6.39,IC50,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN(CC1)C(=O)C1CC1
rucaparib,Q9Y6F1,PARP3,6.39,IC50,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23
midostaurin,Q9HAZ1,CLK4,6.39,Kd,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1
quizartinib,Q15746,MYLK,6.39,Kd,CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C=C2)C2=CN3C(SC4=C3C=CC(OCCN3CCOCC3)=C4)=N2)=NO1
quizartinib,Q32MK0,MYLK3,6.39,Kd,CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C=C2)C2=CN3C(SC4=C3C=CC(OCCN3CCOCC3)=C4)=N2)=NO1
fedratinib,O00238,BMPR1B,6.39,Kd,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
fedratinib,P29597,TYK2,6.39,IC50,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
inqovi,P32320,CDA,6.39,IC50,C1CN(C(=O)N[C@@H]1O)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
tofacitinib,O60674|P23458,JAK2|JAK1,6.391,IC50,C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N
thalidomide,Q96SW2,CRBN,6.393,EC50,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=C1C=CC=C2
fesoterodine,P11229,CHRM1,6.393,Ki,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C
cisapride,P28335,HTR2C,6.396,Ki,COC1CN(CCCOC2=CC=C(F)C=C2)CCC1NC(=O)C1=C(OC)C=C(N)C(Cl)=C1
clemizole,Q9H3N8,HRH4,6.396,Ki,ClC1=CC=C(CN2C(CN3CCCC3)=NC3=C2C=CC=C3)C=C1
metoclopramide,P41595,HTR2B,6.397,Ki,CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1
moxonidine,P08908,HTR1A,6.397,Ki,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1
bupivacaine,P10635,CYP2D6,6.398,IC50,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
econazole,P10635,CYP2D6,6.398,IC50,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
fenfluramine,P41595,HTR2B,6.398,Ki,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
fluvastatin,P11712,CYP2C9,6.398,IC50,CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1
indinavir,P08684,CYP3A4,6.398,IC50,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2
mosapride,P05177,CYP1A2,6.398,IC50,CCOC1=C(C=C(Cl)C(N)=C1)C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1
noscapine,P33261,CYP2C19,6.398,IC50,COC1=CC=C2[C@H](OC(=O)C2=C1OC)[C@@H]1N(C)CCC2=C1C(OC)=C1OCOC1=C2
orphenadrine,P10635,CYP2D6,6.398,IC50,CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
phenylpropanolamine,P18089,ADRA2B,6.398,Ki,CC(N)C(O)C1=CC=CC=C1
raloxifene,P22303,ACHE,6.398,IC50,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
femoxetine,P08912,CHRM5,6.398,Ki,COC1=CC=C(OC[C@H]2CN(C)CC[C@@H]2C2=CC=CC=C2)C=C1
acarbose,P23739,Si,6.4,IC50,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
acebutolol,P07550,ADRB2,6.4,Ki,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
amitriptyline,P34969,HTR7,6.4,Ki,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
amitriptyline,P32304,Htr7,6.4,Ki,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
amlodipine,O95069,KCNK2,6.4,IC50,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=C(Cl)C=CC=C1)C(=O)OC
azimilide,Q12809,KCNH2,6.4,IC50,CN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1
bromocriptine,P21917,DRD4,6.4,Ki,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C
levobunolol,P26255,Adrb3,6.4,Ki,CC(C)(C)NC[C@H](O)COC1=C2CCCC(=O)C2=CC=C1
buspirone,P32305,Htr7,6.4,Ki,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
buspirone,P32304,Htr7,6.4,Ki,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
chlorhexidine,O15244,SLC22A2,6.4,IC50,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
chloroquine,P05227,,6.4,IC50,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
clavulanic acid,P05364,ampC,6.4,Kd,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O
clozapine,P28221,HTR1D,6.4,Ki,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
clozapine,P28566,HTR1E,6.4,Ki,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
digoxin,P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733,ATP1A1|ATP1B1|ATP1A3|ATP1B2|ATP1A2|ATP1B3|FXYD2|ATP1A4,6.4,IC50,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
dinoprost,Q9Y5Y4,PTGDR2,6.4,Ki,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
dinoprost,P70597,Ptger1,6.4,Ki,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
dipyridamole,Q9HCR9,PDE11A,6.4,Ki,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO
disulfiram,P57764,GSDMD,6.4,IC50,CCN(CC)C(=S)SSC(=S)N(CC)CC
ditiocarb,P57764,GSDMD,6.4,IC50,CCN(CC)C(S)=S
duloxetine,P50406,HTR6,6.4,Ki,CNCC[C@H](OC1=CC=CC2=C1C=CC=C2)C1=CC=CS1
elliptinium,P10721,KIT,6.4,IC50,CC1=C2C=C[N+](C)=CC2=C(C)C2=C1NC1=CC=C(O)C=C21
fentanyl,P33533,Oprd1,6.4,Ki,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
fluoxetine,P28335,HTR2C,6.4,Ki,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
haloperidol,P31389,HRH1,6.4,Ki,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
haloperidol,P19327,Htr1a,6.4,Ki,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
hydrochlorothiazide,A6YCJ1,,6.4,Ki,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
imatinib,P16083,NQO2,6.4,IC50,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
ketanserin,P32304,Htr7,6.4,Ki,FC1=CC=C(C=C1)C(=O)C1CCN(CCN2C(=O)NC3=CC=CC=C3C2=O)CC1
ketoconazole,P11511,CYP19A1,6.4,Ki,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
masoprocol,Q9BEG3,,6.4,IC50,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
masoprocol,P48999,Alox5,6.4,IC50,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
menadione,P27338,MAOB,6.4,Ki,CC1=CC(=O)C2=CC=CC=C2C1=O
methacholine,P08482,Chrm1,6.4,EC50,CC(C[N+](C)(C)C)OC(C)=O
mibefradil,Q07652,Cacna1e,6.4,IC50,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=CC(F)=CC=C2[C@@H]1C(C)C
miconazole,P22443,Cyp19a1,6.4,EC50,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
framycetin,Q8NER1,TRPV1,6.4,IC50,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
nevirapine,Q72547,pol,6.4,Ki,CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1
nimesulide,P79208,PTGS2,6.4,IC50,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O
norepinephrine,B0FL73,ADRB1,6.4,Ki,NC[C@H](O)C1=CC(O)=C(O)C=C1
octreotide,P31391,SSTR4,6.4,Ki,C[C@@H](O)[C@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1
oxymetazoline,P25100,ADRA1D,6.4,Ki,CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
penfluridol,P18089,ADRA2B,6.4,Ki,OC1(CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC(=C(Cl)C=C1)C(F)(F)F
phencyclidine,Q05586|Q12879,GRIN1|GRIN2A,6.4,IC50,C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1
piribedil,P08908,HTR1A,6.4,Ki,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1
risperidone,P31388,Htr6,6.4,Ki,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
sertindole,P30939,HTR1F,6.4,Ki,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
sertindole,P28566,HTR1E,6.4,Ki,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
sildenafil,P14100|Q01061,PDE1A|PDE1B,6.4,IC50,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
torsemide,Q13621,SLC12A1,6.4,IC50,CC(C)NC(=O)NS(=O)(=O)C1=CN=CC=C1NC1=CC(C)=CC=C1
trifluoperazine,P28335,HTR2C,6.4,Ki,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
valproic acid,Q13547,HDAC1,6.4,IC50,CCCC(CCC)C(O)=O
colecalciferol,P23415,GLRA1,6.4,EC50,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
zileuton,P16050,ALOX15,6.4,IC50,CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2
ziprasidone,P46098,HTR3A,6.4,Ki,ClC1=CC2=C(CC(=O)N2)C=C1CCN1CCN(CC1)C1=NSC2=C1C=CC=C2
cinromide,Q695T7,SLC6A19,6.4,IC50,CCNC(=O)\C=C\C1=CC(Br)=CC=C1
ruboxistaurin,Q9H2G2,SLK,6.4,Kd,CN(C)C[C@@H]1CCN2C=C(C3=CC=CC=C23)C2=C(C(=O)NC2=O)C2=CN(CCO1)C1=CC=CC=C21
ruboxistaurin,Q15418,RPS6KA1,6.4,Kd,CN(C)C[C@@H]1CCN2C=C(C3=CC=CC=C23)C2=C(C(=O)NC2=O)C2=CN(CCO1)C1=CC=CC=C21
xanomeline,P35462,DRD3,6.4,Ki,CCCCCCOC1=NSN=C1C1=CCCN(C)C1
yohimbine,P35348,ADRA1A,6.4,Kd,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4=C(NC5=C4C=CC=C5)[C@@H]3C[C@H]12
dexfosfoserine,O15303,GRM6,6.4,EC50,N[C@@H](COP(O)(O)=O)C(O)=O
vandetanib,Q15418,RPS6KA1,6.4,Kd,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1
icatibant,P97583,Bdkrb1,6.4,Ki,N[C@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC(=O)N[C@@H](CC1=CC=CS1)C(=O)N[C@@H](CO)C(=O)N1CC2=C(C[C@@H]1C(=O)N1[C@H]3CCCC[C@H]3C[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(O)=O)C=CC=C2
dequalinium,Q92952,KCNN1,6.4,IC50,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1
tenidap,P48050,KCNJ4,6.4,EC50,NC(=O)N1C(=O)\C(=C(/O)C2=CC=CS2)C2=C1C=CC(Cl)=C2
vilanterol,P08588,ADRB1,6.4,EC50,OCC1=C(O)C=CC(=C1)[C@@H](O)CNCCCCCCOCCOCC1=C(Cl)C=CC=C1Cl
ceritinib,P07949,RET,6.4,IC50,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1
diquafosol,P51582,P2RY4,6.4,EC50,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O)N1C=CC(=O)NC1=O
neratinib,Q12866,MERTK,6.4,Kd,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C
relebactam,Q2PUH3,blaCTX-M-15,6.4,IC50,OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O
epinephrine,P18089,ADRA2B,6.401,Ki,CNC[C@H](O)C1=CC=C(O)C(O)=C1
fesoterodine,P08172,CHRM2,6.401,Ki,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C
prochlorperazine,P23975,SLC6A2,6.402,Ki,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
maprotiline,P25021,HRH2,6.406,Ki,CNCCCC12CCC(C3=CC=CC=C13)C1=C2C=CC=C1
clomifene,P11229,CHRM1,6.407,Ki,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
trifluoperazine,P18825,ADRA2C,6.407,Ki,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
raloxifene,P14416,DRD2,6.408,Ki,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
macitentan,P24530,EDNRB,6.408,IC50,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1
methapyrilene,P28335,HTR2C,6.409,Ki,CN(C)CCN(CC1=CC=CS1)C1=CC=CC=N1
pyrimethamine,Q07422,,6.409,IC50,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1
buspirone,P41595,HTR2B,6.41,Ki,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
clozapine,Q63380,NET,6.41,Ki,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
dasatinib,P07949,RET,6.41,Kd,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
dobutamine,Q99N23,Ca15,6.41,Ki,CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1
ethoxzolamide,A6YCJ1,,6.41,Ki,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O
glutamic acid,P41594,GRM5,6.41,Ki,N[C@@H](CCC(O)=O)C(O)=O
haloperidol,Q62666,Slc18a3,6.41,Ki,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
imatinib,P23280,CA6,6.41,Ki,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
labetalol,P19327,Htr1a,6.41,IC50,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
mecamylamine,P32297,CHRNA3,6.41,IC50,CNC1(C)C2CCC(C2)C1(C)C
mezlocillin,P23219,PTGS1,6.41,Ki,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O
miglitol,P35574,AGL,6.41,IC50,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
nilotinib,P08631,HCK,6.41,Kd,CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F
nimodipine,O75469,NR1I2,6.41,EC50,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C
norepinephrine,P15823|P23944|P43140,Adra1b|Adra1d|Adra1a,6.41,Ki,NC[C@H](O)C1=CC(O)=C(O)C=C1
phenylephrine,P08913|P18089|P18825,ADRA2A|ADRA2B|ADRA2C,6.41,Ki,CNC[C@H](O)C1=CC(O)=CC=C1
pirenzepine,P16395,mAChR-A,6.41,Ki,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1
pranoprofen,Q63921,Ptgs1,6.41,IC50,CC(C(O)=O)C1=CC2=C(OC3=NC=CC=C3C2)C=C1
quetiapine,P21728,DRD1,6.41,Ki,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12
sorafenib,P12931,SRC,6.41,IC50,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
sorafenib,Q9H422,HIPK3,6.41,Kd,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
sunitinib,O43172,PRPF4,6.41,Kd,CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
sunitinib,Q13523,PRPF4B,6.41,Kd,CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
topiramate,Q5U9J1,ca1,6.41,Ki,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
guanabenz,P43140,Adra1a,6.41,IC50,NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl
pazopanib,P53671,LIMK2,6.41,Kd,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1
romidepsin,Q9Z2V5,Hdac6,6.41,IC50,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C
ruxolitinib,Q8NFD2,ANKK1,6.41,Kd,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
bosutinib,Q14289,PTK2B,6.41,Kd,COC1=CC2=C(C=C1OCCCN1CCN(C)CC1)N=CC(C#N)=C2NC1=CC(OC)=C(Cl)C=C1Cl
teriflunomide,P00374,DHFR,6.41,IC50,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F
nintedanib,Q9Y4K4,MAP4K5,6.41,Kd,COC(=O)C1=CC2=C(C=C1)\C(=C(\NC1=CC=C(C=C1)N(C)C(=O)CN1CCN(C)CC1)C1=CC=CC=C1)C(=O)N2
neratinib,P35590,TIE1,6.41,Kd,CCOC1=CC2=NC=C(C#N)C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C2C=C1NC(=O)\C=C\CN(C)C
entrectinib,P07949,RET,6.41,IC50,CN1CCN(CC1)C1=CC(NC2CCOCC2)=C(C=C1)C(=O)NC1=NNC2=CC=C(CC3=CC(F)=CC(F)=C3)C=C12
fedratinib,P30291,WEE1,6.41,Kd,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
fedratinib,Q13523,PRPF4B,6.41,Kd,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
tazemetostat,Q92800,EZH1,6.41,IC50,CCN(C1CCOCC1)C1=CC(=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1=CC=C(CN2CCOCC2)C=C1
loxapine,P28222,HTR1B,6.411,Ki,CN1CCN(CC1)C1=NC2=C(OC3=CC=C(Cl)C=C13)C=CC=C2
pecazine,P70580,Pgrmc1,6.411,Ki,CN1CCCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1
imipramine,P35462,DRD3,6.412,Ki,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2
promazine,P08172,CHRM2,6.412,Ki,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2
bithionol,P28482,MAPK1,6.415,IC50,OC1=C(SC2=C(O)C(Cl)=CC(Cl)=C2)C=C(Cl)C=C1Cl
gentian violet,P08912,CHRM5,6.416,Ki,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C
mianserin,P08172,CHRM2,6.417,Ki,CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1
tianeptine,P35372,OPRM1,6.417,Ki,CN1C2=CC=CC=C2C(NCCCCCCC(O)=O)C2=CC=C(Cl)C=C2S1(=O)=O
zolpidem,P18507|P28472|P34903,GABRG2|GABRB3|GABRA3,6.417,Ki,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
tamoxifen,P70580,Pgrmc1,6.419,Ki,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
cilostazol,Q13370,PDE3B,6.42,IC50,O=C1CCC2=CC(OCCCCC3=NN=NN3C3CCCCC3)=CC=C2N1
dexmedetomidine,P18130,ADRA1A,6.42,EC50,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
dexniguldipine,P15823,Adra1b,6.42,Ki,COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1
dichlorphenamide,Q95323,CA4,6.42,Ki,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O
diltiazem,Q13698,CACNA1S,6.42,Ki,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
dobutamine,P23975,SLC6A2,6.42,Ki,CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1
haloperidol,P31390,Hrh1,6.42,Ki,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
hydroxyzine,P14416,DRD2,6.42,Ki,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
imatinib,Q8TBX8,PIP4K2C,6.42,Kd,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
masoprocol,P37059,HSD17B2,6.42,IC50,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
mesoridazine,P50406,HTR6,6.42,Ki,CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O
nilotinib,P16083,NQO2,6.42,IC50,CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F
pemetrexed,P22102,GART,6.42,Ki,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1
sulindac,P23415,GLRA1,6.42,EC50,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O
sulpiride,A6YCJ1,,6.42,Ki,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O
sumatriptan,P28223,HTR2A,6.42,Ki,CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1
